open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730419200000,70321.90,70345.40,70288.50,70000.00,453.167,1730419259999,31865639.47100,5886,325.386,22881006.54570,0
1730419260000,70343.20,70352.80,70330.00,60730.00,113.654,1730419319999,7994625.30660,2468,68.767,4837156.31450,0
1730419320000,70345.70,70358.40,70300.00,60538.00,155.416,1730419379999,10931264.99200,3312,67.958,4779894.13210,0
1730419380000,70338.20,70388.70,70338.20,60338.20,100.091,1730419439999,7042877.24480,2222,79.231,5575098.18880,0
1730419440000,70378.20,70378.20,70360.20,60000.00,63.217,1730419499999,4448654.08310,1010,50.949,3585341.63400,0
1730419500000,70378.10,70460.90,70378.10,60547.00,163.303,1730419559999,11500170.42220,2461,131.444,9255918.27080,0
1730419560000,70447.50,70454.60,70422.00,70047.00,51.647,1730419619999,3637859.44840,1290,36.012,2536595.18820,0
1730419620000,70447.50,70473.10,70440.60,70651.00,64.068,1730419679999,4513757.54040,1519,38.384,2704271.52820,0
1730419680000,70451.00,70451.10,70421.60,80499.99,66.363,1730419739999,4674196.70540,1415,34.159,2405977.78030,0
1730419740000,70421.60,70421.70,70386.00,80000.00,44.093,1730419799999,3104150.91810,1254,17.386,1223921.74180,0
1730419800000,70408.00,70408.10,70370.00,70389.00,52.361,1730419859999,3685466.72770,1223,14.795,1041349.71720,0
1730419860000,70389.30,70415.50,70385.20,70407.00,42.356,1730419919999,2982046.91580,955,22.144,1558928.55110,0
1730419920000,70407.00,70412.40,70378.00,70385.00,47.856,1730419979999,3368901.91110,986,27.081,1906390.11400,0
1730419980000,70385.10,70458.00,70385.10,70458.00,74.615,1730420039999,5255555.75410,1340,61.810,4353735.39030,0
1730420040000,70458.00,70481.80,70457.90,59500.01,34.420,1730420099999,2425679.54480,705,27.230,1918969.39440,0
1730420100000,70481.80,70491.10,70440.50,70457.00,101.993,1730420159999,7187610.91930,1717,45.386,3198369.76060,0
1730420160000,70457.10,70479.10,70430.50,70437.00,53.683,1730420219999,3782074.30080,1213,31.689,2232456.87040,0
1730420220000,70437.00,70451.00,70437.00,80499.99,18.338,1730420279999,1291799.41670,428,9.423,663787.08430,0
1730420280000,70451.00,70500.00,70450.90,59500.00,119.029,1730420339999,8388598.68100,2032,69.485,4897264.71180,0
